GODKJENT,GODKJENNINGSNUMMER,PRODUKSJONSFORMER,VIRKSOMHETSNAVN,BEDRIFTSNR,ADRESSE,POSTNR,POSTSTED,TELEFON,TELEFAX,KOMMUNENR,KOMMUNE,FYLKENR,FYLKE
,NO21053236,M,EKREN GRUPPEN AS,919971088,Drotningsvikveien 153,5179,GODVIK,,,4601,Bergen,46,Vestland
A,NO18052649,D,"ELANCO DENMARK APS, NORWAY BRANCH NUF",921327048,,,,,,0301,Oslo kommune,03,Oslo
,NO18052417,N,ELIN STAMLAND ANDERSEN,,Bjørkedalvegen 223,3948,PORSGRUNN,,,,,,
,NO18052405,N,ELISABETH STRANDDAL,,Herreveien 1229,3965,HERRE,,,,,,
,NO17051819,I,En Liten Øl AS,916307764,Port Steingard,5419,FITJAR,,,4615,Fitjar,46,Vestland
,NO12050801,Q,Endre Rustaden,982871891,Rute 537,2870,Dokka,,,3448,Nordre Land,34,Innlandet
,NO18052071,N,ENG GÅRD M/VESTRENG ANS,996622037,Engsveien 29/31,1816,SKIPTVET,,,3116,Skiptvet,31,Østfold
,NO10050321,R,ENG GÅRDSDRIFT AS,976306368,Risheimveien 2,1591,SPERREBOTN,,,3114,Våler,31,Østfold
,NO16051637,R,ENG LANDBRUK ZAVJALOVS,912578046,Engsveien 121,1816,SKIPTVET,,,3116,Skiptvet,31,Østfold
,NO14051201,Q,ENGER ELSA TRANSPORT,972308617,Landskaugveien 28,1914,YTRE ENEBAKK,,,3220,Enebakk,32,Akershus
,NO11050567,H,Engers Lefsebakeri,973209639,Åslendevegen 375,2825,GJØVIK,,61 18 00 39,3407,Gjøvik,34,Innlandet
,NO18052045,I,EPAX NORWAY AS AVD ÅLESUND,971655526,Aarsæthervegen 17,6006,ÅLESUND,70 13 59 60 ,,1508,Ålesund,15,Møre og Romsdal
,NO25054219,M,EQUIHOUSE AS,936597599,Stengata 5,1531,MOSS,,,3103,Moss,31,Østfold
,NO20053076,M,EQUINOVA AS,924602651,Årosveien 193,1480,SLATTUM,,,3232,Nittedal,32,Akershus
,NO20053009,O,EQUNITY SPORTSHORSES AS,923312161,Åsgårdstarndveien 198,3153,TOLVSRØD,,,3905,Tønsberg,39,Vestfold
,NO22053407,KO,ERA BIOCARBON AS,928969363,Televegen 2,3802,BØ I TELEMARK,,,4020,Midt-Telemark,40,Telemark
,NO21053268,O,ERGOHORSE AS,920055443,Fanafjellsvegen 388,5243,FANA,,,4601,Bergen,46,Vestland
,NO15051523,R,ERIK THOMAS HEIGRE,921446918,Heigreveien 510,4312,SANDNES,,,1108,Sandnes,11,Rogaland
,NO11050497,R,ERLEND RØHNEBÆK,976549104,Vestre Solørveg 880,2219,BRANDVAL,,,3401,Kongsvinger,34,Innlandet
A,NO11050466,QU,ERLING FARSTAD TRANSPORT AS,971686081,bådalen,6530,AVERØY,,,1554,Averøy,15,Møre og Romsdal
,NO12050855,Q,ESPELAND TRANSPORT AS,974345218,Paureng Alvdal,2560,ALVDAL,,,3428,Alvdal,34,Innlandet
,NO16051769,PQ,Espen Hatlinghus,993620688,Dalbygdvegen 361,7730,BEITSTAD,91757337,,5006,Steinkjer,50,Trøndelag
,NO26054236,M,EUROPRIS ALSTAD 648,936874770,Per Helgesens vei 99,8013,BODØ,,,1804,Bodø,18,Nordland
,NO25053890,M,EUROPRIS ANDENES 473,916800525,Industriveien 4A,8480,ANDENES,,,1871,Andøy,18,Nordland
,NO25053891,M,EUROPRIS ARKADEN CITY 647,935709091,Klubbgata 5,4013,STAVANGER,,,1103,Stavanger,11,Rogaland
,NO10050389,M,EUROPRIS AS AVD SENTRALADMINISTRASJONEN,971611855,Kortbølgen 4,1630,Gml. Fredrikstad,,,3107,Fredrikstad,31,Østfold
,NO25053892,M,EUROPRIS ASKER 637,934565770,Røykenveien 142,1386,ASKER,,,3203,Asker,32,Akershus
,NO25053893,M,EUROPRIS ASKIM 388,980319563,Trøgstadveien 4D,1830,ASKIM,69815569,69815569,3118,Indre Østfold,31,Østfold
,NO25053895,M,EUROPRIS AUSTEVOLL 612,826537752,Storebøvegen 201B,5392,STOREBØ,,,4625,Austevoll,46,Vestland
,NO25053990,M,Europris avd Grensen City 629,830694862,Grensen 13,0159,OSLO,,,0301,Oslo kommune,03,Oslo
,NO25054079,M,Europris avd Lindås 611,925456497,Kolåsvegen 7,5955,LINDÅS,,,4631,Alver,46,Vestland
,NO25053896,M,EUROPRIS AVERØY 360,913324161,Averøyveien 14,6530,AVERØY,,,1554,Averøy,15,Møre og Romsdal
,NO25053897,M,EUROPRIS BARDUFOSS 592,988748773,Fagerlidal 430,9325,BARDUFOSS,,,5524,Målselv,55,Troms
,NO25053906,M,EUROPRIS BEGBY 463,915608671,Haldenveien 6,1639,GAMLE FREDRIKSTAD,,,3107,Fredrikstad,31,Østfold
,NO25053925,M,EUROPRIS BEKKESTUA 644,834853892,Gamle Ringeriksvei 39,1357,BEKKESTUA,,,3201,Bærum,32,Akershus
,NO25053926,M,EUROPRIS BILLINGSTAD 317,994023632,Billingstadsletta 11,1396,BILLINGSTAD,,,3203,Asker,32,Akershus
,NO25053928,M,EUROPRIS BJUGN 506,988833665,Bjugnveien 26,7160,BJUGN,,,5057,Ørland,50,Trøndelag
,NO25053930,M,EUROPRIS BJØRKELANGEN 299,993312460,Nordre Bliksrud vei 9,1940,BJØRKELANGEN,,,3226,Aurskog-Høland,32,Akershus
,NO25053931,M,Europris Bodø City Nord,916007094,Stormyrveien 20,8008,BODØ,,,1804,Bodø,18,Nordland
,NO25054011,M,Europris Bodø Hunstad,991957383,Innstrandveien 15,8020,BODØ,40404656,,1804,Bodø,18,Nordland
,NO25053933,M,EUROPRIS BOGAFJELL 576,991780610,Bogafjellveien 65,4324,SANDNES,,,1108,Sandnes,11,Rogaland
,NO25053935,M,EUROPRIS BRANDBU 323,994748564,Storlinna 20A,2760,BRANDBU,,,3446,Gran,34,Innlandet
,NO25053937,M,EUROPRIS BREKSTAD 495,918522549,Maren Juels gate 1,7130,BREKSTAD,,,5057,Ørland,50,Trøndelag
,NO25053938,M,EUROPRIS BRENNÅSEN 466,994207229,Brennåsmoen 1,4647,BRENNÅSEN,,,4204,Kristiansand,42,Agder
,NO25053940,M,EUROPRIS BROKELANDSHEIA 311,877291472,Brokelandsheia,4993,SUNDEBRU,37 15 75 00,,4211,Gjerstad,42,Agder
,NO25053942,M,EUROPRIS BRUMUNDDAL 229,977387639,Furnesveien 2,2382,Brumunddal,62344030,,3411,Ringsaker,34,Innlandet
,NO17051891,M,EUROPRIS BRUMUNDDAL 229,977387639,Furnesveien 2,2382,Brumunddal,62344030,,3411,Ringsaker,34,Innlandet
,NO25053943,M,EUROPRIS BRYN 238,983159915,Nils Hansens vei 6A,0666,OSLO,,,0301,Oslo kommune,03,Oslo
,NO25053945,M,EUROPRIS BRYNE 345,982607280,Reevegen 13,4340,BRYNE,,,1121,Time,11,Rogaland
,NO25053947,M,EUROPRIS BØ 439,980663302,Valenvegen 5,3802,BØ I TELEMARK,,,4020,Midt-Telemark,40,Telemark
,NO25053948,M,Europris Bømlo,916012578,Svortlandsvegen 79,5430,BREMNES,,,4613,Bømlo,46,Vestland
,NO25053950,M,EUROPRIS CC DRAMMEN 634,931822292,Tomtegata 36,3012,DRAMMEN,,,3301,Drammen,33,Buskerud
,NO25053951,M,EUROPRIS DALE 508,919595183,Jarstadvegen 22,6963,DALE I SUNNFJORD,,,4646,Fjaler,46,Vestland
,NO25053952,M,EUROPRIS DIGERNES 580,920629202,Digernes næringsområde 11,6260,SKODJE,,,1508,Ålesund,15,Møre og Romsdal
,NO25053953,M,EUROPRIS DOKKA 590,979333021,Storgata 55,2870,DOKKA,,,3448,Nordre Land,34,Innlandet
,NO25053954,M,EUROPRIS DOMBÅS 630,930925659,Sentralplassen 1A,2660,DOMBÅS,,,3431,Dovre,34,Innlandet
,NO25053955,M,EUROPRIS DRØBAK,990477825,Holterveien 4G,1448,DRØBAK,,,3214,Frogn,32,Akershus
,NO25053956,M,EUROPRIS E-HANDEL 800,920448844,Vestre Vanemvei 40,1599,MOSS,,,3103,Moss,31,Østfold
,NO25053957,M,EUROPRIS EIDSVOLL 246,985768463,Nedre Vilberg veg 4,2080,EIDSVOLL,63 95 79 00,63 95 79 01,3240,Eidsvoll,32,Akershus
,NO25053958,M,EUROPRIS EIDSVÅG 339,982789001,Kråkholmvegen 19,6460,EIDSVÅG I ROMSDAL,,,1506,Molde,15,Møre og Romsdal
,NO25053959,M,EUROPRIS ELNESVÅGEN 396,889562072,Torget 6,6440,ELNESVÅGEN,71262040,71262042,1579,Hustadvika,15,Møre og Romsdal
,NO25053960,M,EUROPRIS ELVERUM 249,981214501,Olav Sæters veg 6,2413,ELVERUM,62400844,62414988,3420,Elverum,34,Innlandet
,NO25053961,M,EUROPRIS ENEBAKK 407,915357741,Sagstuveien 1,1914,YTRE ENEBAKK,,,3220,Enebakk,32,Akershus
,NO25053962,M,EUROPRIS ENSJØ 624,929403363,Gladengveien 1,0661,OSLO,,,0301,Oslo kommune,03,Oslo
,NO25053963,M,EUROPRIS ETNE 602,922938148,Haukelivegen 936,5590,ETNE,,,4611,Etne,46,Vestland
,NO25053964,M,EUROPRIS EVJE 362,896992562,Verksvegen 13,4735,EVJE,,,4219,Evje og Hornnes,42,Agder
,NO25053965,M,EUROPRIS FALKUM 594,976784626,Århusvegen 35,3723,SKIEN,,,4003,Skien,40,Telemark
,NO25053966,M,EUROPRIS FARSUND 304,993041580,Øygardsveien 2,4550,FARSUND,38392400,38392701,4206,Farsund,42,Agder
,NO25053967,M,EUROPRIS FAUSKE 373,980259110,Terminalveien 5,8208,FAUSKE,75646418,75646718,1841,Fauske,18,Nordland
,NO25053968,M,EUROPRIS FJELLHAMAR 623,929107683,Haneborgveien 95,1463,FJELLHAMAR,,,3222,Lørenskog,32,Akershus
,NO25053969,M,EUROPRIS FLATÅSEN 390,898349942,Øvre Flatåsveg 1B,7079,FLATÅSEN,,,5001,Trondheim,50,Trøndelag
,NO25053970,M,EUROPRIS FLEKKEFJORD 608,924285583,Lasta 50,4405,FLEKKEFJORD,,,4207,Flekkefjord,42,Agder
,NO25053971,M,EUROPRIS FLISA 230,976327519,Solves gate 2,2270,FLISA,62 95 02 00,,3418,Åsnes,34,Innlandet
,NO25053972,M,EUROPRIS FLÅ,998086469,,3539,FLÅ,91 31 46 78,,3320,Flå,33,Buskerud
,NO25053973,M,EUROPRIS FORUS,911742098,Lagerveien 2,4033,STAVANGER,,,1103,Stavanger,11,Rogaland
,NO25053974,M,EUROPRIS FOSNAVÅG 597,922539766,Eggesbøjorda 3,6092,FOSNAVÅG,,,1515,Herøy (M. og R.),15,Møre og Romsdal
,NO25053975,M,EUROPRIS FREDRIKSTAD 209,987713402,Dikeveien 8,1661,ROLVSØY,69 35 24 20,69 35 24 21,3107,Fredrikstad,31,Østfold
,NO25053976,M,EUROPRIS FRITZØE BRYGGE 638,834565862,Fritzøe Brygge 1,3264,LARVIK,,,3909,Larvik,39,Vestfold
,NO25053977,M,EUROPRIS FROLAND 628,930470376,Bjørumsvegen 2A,4820,FROLAND,,,4214,Froland,42,Agder
,NO25053978,M,EUROPRIS FRØYA 621,928505561,Nordfrøyveien 25,7263,HAMARVIK,,,5014,Frøya,50,Trøndelag
,NO25053979,M,EUROPRIS FURUSET 458,913972627,Trygve Lies plass 1b,1051,OSLO,,,0301,Oslo kommune,03,Oslo
,NO25053980,M,EUROPRIS FYLLINGSDALEN 429,979902727,Spelhaugen 15,5147,FYLLINGSDALEN,,,4601,Bergen,46,Vestland
,NO25053981,M,EUROPRIS FØRDE 579,919044063,Firdavegen 20,6800,FØRDE,,,4647,Sunnfjord,46,Vestland
,NO25053982,M,EUROPRIS GANDDAL 575,972138282,Lundegeilen 20,4323,SANDNES,,,1108,Sandnes,11,Rogaland
,NO25053983,M,EUROPRIS GAUSDAL 346,996060268,Fargerivegen 7,2651,ØSTRE GAUSDAL,,,3441,Gausdal,34,Innlandet
,NO25053984,M,EUROPRIS GEILO AVD 404,917191689,Vesleslåttvegen 19,3580,GEILO,,,3330,Hol,33,Buskerud
,NO25053985,M,EUROPRIS GISKE 464,915357253,Valderøyvegen 1166,6050,VALDERØYA,,,1532,Giske,15,Møre og Romsdal
,NO25053986,M,EUROPRIS GJØVIK 394,979122926,Kallerudlia 4,2816,GJØVIK,61 17 94 90,61 17 19 70,3407,Gjøvik,34,Innlandet
,NO25053987,M,EUROPRIS GOL 415,983834825,,3550,GOL,32 07 45 05,,3324,Gol,33,Buskerud
,NO25053988,M,EUROPRIS GRAN 479,918505911,Morstadvegen 2,2750,GRAN,,,3446,Gran,34,Innlandet
,NO25053989,M,EUROPRIS GRASMYR 432,917684774,Tønderveien 3,3961,STATHELLE,,,4012,Bamble,40,Telemark
,NO25053991,M,EUROPRIS GRIM 639,934565894,Setesdalsveien 21,4616,KRISTIANSAND S,,,4204,Kristiansand,42,Agder
,NO25053992,M,EUROPRIS GRIMSTAD 437,982695430,Bergemoveien 45,4886,GRIMSTAD,,,4202,Grimstad,42,Agder
,NO25053993,M,EUROPRIS GRINI PLUSS 353,996102769,Grini Næringspark 1,1361,ØSTERÅS,,,3201,Bærum,32,Akershus
,NO25053994,M,EUROPRIS GRONG 494,919595655,Sundspetvegen 33,7870,GRONG,,,5045,Grong,50,Trøndelag
,NO25053995,M,EUROPRIS GRORUD 472,916012446,Grorud Senter,0963,OSLO,,,0301,Oslo kommune,03,Oslo
,NO25053996,M,EUROPRIS GULSKOGEN 641,934286634,Guldlisten 35,3048,DRAMMEN,,,3301,Drammen,33,Buskerud
,NO25053997,M,EUROPRIS GUNERIUS CITY 604,922096864,Storgata 32,0184,OSLO,,,0301,Oslo kommune,03,Oslo
,NO25053998,M,EUROPRIS HALDEN 239,984433034,Walkers gate 8B,1771,HALDEN,,,3101,Halden,31,Østfold
,NO25053999,M,EUROPRIS HAMAR 631,931247905,Midtstranda 97,2321,HAMAR,,,3403,Hamar,34,Innlandet
,NO25054000,M,EUROPRIS HARSTAD 589,984713460,Sjøkanten Senter,9405,HARSTAD,,,5503,Harstad,55,Troms
,NO25054001,M,EUROPRIS HERKULES 595,988405264,Ulefossvegen 48,3730,SKIEN,,,4003,Skien,40,Telemark
,NO25054003,M,EUROPRIS HITRA 277,897592622,Fillan,7240,HITRA,,,5056,Hitra,50,Trøndelag
,NO25054004,M,EUROPRIS HOLMESTRAND 632,977532604,Bentsrudveien 4,3083,HOLMESTRAND,,,3903,Holmestrand,39,Vestfold
,NO25054005,M,EUROPRIS HOLMLIA CITY 646,835211452,Holmliaveien 75,1255,OSLO,,,0301,Oslo kommune,03,Oslo
,NO25054006,M,EUROPRIS HOMMELVIK 329,996060233,Havnevegen 24,7550,HOMMELVIK,,,5031,Malvik,50,Trøndelag
,NO25054008,M,Europris Horten,983469329,Strandparken 3,3187,HORTEN,33 04 05 90,,3901,Horten,39,Vestfold
,NO25054009,M,EUROPRIS HOV,997411587,Hovlandsvegen 1A,2860,HOV,,,3447,Søndre Land,34,Innlandet
,NO25054013,M,EUROPRIS HØNEFOSS 244,982366712,Hvervenmoveien 2D,3511,HØNEFOSS,,,3305,Ringerike,33,Buskerud
,NO25054015,M,EUROPRIS INDRE ARNA 364,998285860,Storaneset 24,5260,INDRE ARNA,,,4601,Bergen,46,Vestland
,NO25054016,M,EUROPRIS ISEVEIEN 279,991665722,Snekkerstubakken 76,1738,BORGENHAUGEN,69 10 12 35,,3105,Sarpsborg,31,Østfold
,NO25054018,M,Europris Jessheim,999028691,Dampsaga allé 3,2053,JESSHEIM,,,3209,Ullensaker,32,Akershus
,NO25054019,M,EUROPRIS JEVNAKER 477,916674570,Industrivegen 2,3520,JEVNAKER,,,3236,Jevnaker,32,Akershus
,NO25054021,M,EUROPRIS JUVIK 369,911624583,Juvikflaten 10,5308,KLEPPESTØ,,,4627,Askøy,46,Vestland
,NO25054023,M,EUROPRIS JØRPELAND 642,975812898,Rådhusgaten 22,4100,JØRPELAND,,,1130,Strand,11,Rogaland
,NO25054024,M,EUROPRIS JÅTTÅ 619,927387298,Jåttåvågveien 7,4020,STAVANGER,,,1103,Stavanger,11,Rogaland
,NO25054026,M,EUROPRIS KILEN 614,980284476,Halfdan Wilhelmsens alle 42,3117,TØNSBERG,,,3905,Tønsberg,39,Vestfold
,NO25054028,M,EUROPRIS KIRKEBY 460,914366747,Ringvegen 11,2816,GJØVIK,,,3407,Gjøvik,34,Innlandet
,NO25054029,M,EUROPRIS KIRKENES 316,979787790,Smiveien 4,9900,Kirkenes,,,5605,Sør-Varanger,56,Finnmark
,NO25054031,M,Europris Kirkenær,912655148,Bruvegen 17,2260,KIRKENÆR,,,3417,Grue,34,Innlandet
,NO25054033,M,EUROPRIS KJØRBEKK 572,920838545,Bedriftsvegen 130,3735,SKIEN,,,4003,Skien,40,Telemark
,NO25054034,M,EUROPRIS KLEPPELUNDSVEIEN 577,996172228,Solaveien 2,4352,KLEPPE,,,1120,Klepp,11,Rogaland
,NO25054036,M,EUROPRIS KLØFTA,986208763,Trondheimsvegen - Kløfta 62,2040,KLØFTA,63 97 62 30,63 97 62 31,3209,Ullensaker,32,Akershus
,NO25054037,M,EUROPRIS KOKSTAD 500,918522417,Kokstaddalen 18,5257,KOKSTAD,,,4601,Bergen,46,Vestland
,NO25054039,M,EUROPRIS KOLVEREID 426,992688548,Kolvereid Torg,7970,Kolvereid,,,5060,Nærøysund,50,Trøndelag
,NO25054040,M,EUROPRIS KONGSBERG 606,925657786,Sildetomta 8,3612,KONGSBERG,,,3303,Kongsberg,33,Buskerud
,NO25054042,M,EUROPRIS KONGSVINGER 243,984655428,Markensvegen 3,2212,KONGSVINGER,62 81 07 10,62 81 07 11,3401,Kongsvinger,34,Innlandet
,NO25054043,M,EUROPRIS KONNERUD 385,997713990,Pettersvollen 3,3032,DRAMMEN,,,3301,Drammen,33,Buskerud
,NO25054045,M,Europris Kristiansund,980077888,Rørgata 5,6517,KRISTIANSUND N,71 58 39 41,71 58 39 42,1505,Kristiansund,15,Møre og Romsdal
,NO13051137,M,EUROPRIS KRØGENES 327,995612712,Kystveien 247,4841,ARENDAL,,,4203,Arendal,42,Agder
,NO25054046,M,EUROPRIS KRØGENES 327,995612712,Kystveien 247,4841,ARENDAL,,,4203,Arendal,42,Agder
,NO25054048,M,EUROPRIS KRÅKERØY 399,999028403,Stadion 33,1671,KRÅKERØY,,,3107,Fredrikstad,31,Østfold
,NO25054050,M,Europris Kvala,989011960,Austrheimvegen 10,5516,HAUGESUND,,,1106,Haugesund,11,Rogaland
,NO25054052,M,EUROPRIS KVINESDAL 467,992339225,Austerdalsvegen 3A,4480,KVINESDAL,,,4227,Kvinesdal,42,Agder
,NO25054053,M,EUROPRIS KYRKSÆTERØRA 325,995226510,Industriveien 5,7200,KYRKSÆTERØRA,,,5055,Heim,50,Trøndelag
,NO25054054,M,EUROPRIS LADE 320,994032151,1.etg,7041,TRONDHEIM,73525004,73525005,5001,Trondheim,50,Trøndelag
,NO25054056,M,EUROPRIS LAGUNEN 626,928951855,2.etg,5239,RÅDAL,,,4601,Bergen,46,Vestland
,NO25054057,M,EUROPRIS LAKSELV 305,893200312,Laatasveien,9700,LAKSELV,,,5622,Porsanger,56,Finnmark
,NO25054059,M,EUROPRIS LAKSEVÅG 483,917684898,Kringsjåveien 83,5163,LAKSEVÅG,,,4601,Bergen,46,Vestland
,NO25054061,M,EUROPRIS LAMBERTSETER 254,986895485,Cecilie Thoresens vei 28,1153,OSLO,22 74 25 00,22 74 25 01,0301,Oslo kommune,03,Oslo
,NO25054063,M,EUROPRIS LANGEVÅG 509,919595078,Veddevegen 171,6030,LANGEVÅG,,,1531,Sula,15,Møre og Romsdal
,NO25054064,M,EUROPRIS LANGNES 290,980373959,Heilovegen 24,9015,TROMSØ,77 67 37 30,77 67 37 31,5501,Tromsø,55,Troms
,NO25054065,M,EUROPRIS LEIRA 627,990113920,Markavegen 2,2920,LEIRA I VALDRES,,,3451,Nord-Aurdal,34,Innlandet
,NO25054066,M,EUROPRIS LENA 620,928343979,Vallevegen 16,2850,LENA,,,3442,Østre Toten,34,Innlandet
,NO18052435,M,EUROPRIS LEVANGER,990130175,Moafjæra 12,7606,LEVANGER,,,5037,Levanger,50,Trøndelag
,NO25054067,M,EUROPRIS LEVANGER,990130175,Moafjæra 12,7606,LEVANGER,,,5037,Levanger,50,Trøndelag
,NO25054069,M,EUROPRIS LIERSTRANDA 224,981051971,Lierstranda 97,3414,LIERSTRANDA,,,3312,Lier,33,Buskerud
,NO25054070,M,EUROPRIS LIERTOPPEN 438,984627750,Drammensveien 201,3420,LIERSKOGEN,,,3312,Lier,33,Buskerud
,NO25054072,M,EUROPRIS LILLEHAMMER,979286880,Strandpromenaden 77,2609,LILLEHAMMER,61 26 44 10,,3405,Lillehammer,34,Innlandet
,NO25054073,M,EUROPRIS LILLEHAMMER NORD 581,920222862,Snekkervegen 7,2619,LILLEHAMMER,,,3405,Lillehammer,34,Innlandet
,NO25054075,M,EUROPRIS LILLESAND 436,976160479,Senterveien 10,4790,LILLESAND,,,4215,Lillesand,42,Agder
,NO25054076,M,EUROPRIS LILLESTRØM 383,982937981,Isakveien 2,2004,LILLESTRØM,63 80 53 90,63 80 53 91,3205,Lillestrøm,32,Akershus
,NO25054077,M,EUROPRIS LINDEBERG 255,986895450,Lindeberg næringsvei 28,1067,OSLO,22 30 25 30 ,,0301,Oslo kommune,03,Oslo
,NO25054080,M,EUROPRIS LONEVÅG 424,912655520,Lonevåg Senter,5282,LONEVÅG,,,4630,Osterøy,46,Vestland
,NO25054082,M,Europris Lund,975946444,Stadionveien 16,4632,KRISTIANSAND S,,,4204,Kristiansand,42,Agder
,NO25054083,M,EUROPRIS LURA 591,920981720,Somaveien 2,4313,SANDNES,,,1108,Sandnes,11,Rogaland
,NO25054084,M,EUROPRIS LYNGDAL 487,972356840,Fiboveien 4,4580,LYNGDAL,,,4225,Lyngdal,42,Agder
,NO25054086,M,EUROPRIS LØREN CITY 615,825851372,Lørenveien 38,0585,OSLO,,,0301,Oslo kommune,03,Oslo
,NO25054091,M,EUROPRIS LØRENSKOG,911954680,Boecks gate 10,1473,LØRENSKOG,,,3222,Lørenskog,32,Akershus
,NO25054092,M,EUROPRIS LØTEN 408,999583822,Stasjonsvegen 12B,2340,LØTEN,,,3412,Løten,34,Innlandet
,NO25054160,M,EUROPRIS MANDAL 645,976147448,Sommerkroveien 7,4515,MANDAL,,,4205,Lindesnes,42,Agder
,NO25054161,M,EUROPRIS MELHUS 609,924285559,Rådhusvegen 7,7224,MELHUS,,,5028,Melhus,50,Trøndelag
,NO25054159,M,EUROPRIS MERÅKER 600,922414416,Mellomriksveien 4869,7530,MERÅKER,,,5034,Meråker,50,Trøndelag
,NO25054158,M,EUROPRIS MIDTUN 431,980567702,Midtunheia 20,5224,NESTTUN,,,4601,Bergen,46,Vestland
,NO25054157,M,EUROPRIS MJØNDALEN 386,995316358,Orkidehøgda 14,3050,MJØNDALEN,,,3301,Drammen,33,Buskerud
,NO25054156,M,EUROPRIS MO I RANA 434,976431901,Mo Handelspark,8626,MO I RANA,,,1833,Rana,18,Nordland
,NO25054155,M,EUROPRIS MOELV 242,984566670,Åsmarkvegen 6,2390,MOELV,,,3411,Ringsaker,34,Innlandet
,NO25054154,M,EUROPRIS MOLDE 335,979967519,Birger Hatlebakks veg 7,6415,MOLDE,,,1506,Molde,15,Møre og Romsdal
,NO25054153,M,EUROPRIS MORTENSRUD 457,914443202,Helga Vaneks vei 1J,1281,OSLO,,,0301,Oslo kommune,03,Oslo
,NO25054152,M,EUROPRIS MOSJØEN 435,983335551,Dolstadgata 15,8663,MOSJØEN,,,1824,Vefsn,18,Nordland
,NO25054151,M,EUROPRIS MOSS,981089472,Midtveien 5,1526,MOSS,,,3103,Moss,31,Østfold
,NO25054149,M,EUROPRIS MYSEN 413,889522852,Opsahlåsveien 1A,1850,MYSEN,,,3118,Indre Østfold,31,Østfold
,NO25054147,M,EUROPRIS MÅLØY 306,893312412,Myrane 13,6718,DEKNEPOLLEN,57 85 44 40,57 85 44 41,4602,Kinn,46,Vestland
,NO25054145,M,EUROPRIS NAMSOS,981335708,Sandgata 7,7800,NAMSOS,74 27 17 13,74 27 17 14,5007,Namsos,50,Trøndelag
,NO25054144,M,EUROPRIS NANNESTAD 593,921595409,Ekervegen 5,2030,NANNESTAD,,,3238,Nannestad,32,Akershus
,NO25054143,M,EUROPRIS NANSET 441,879820642,Nansetgata 150,3271,LARVIK,,,3909,Larvik,39,Vestfold
,NO25054142,M,EUROPRIS NARVIK 588,879294592,Bolagsgata 18,8514,NARVIK,,,1806,Narvik,18,Nordland
,NO25054141,M,EUROPRIS NEDENES 447,914443237,Vesterveien 705,4823,NEDENES,,,4203,Arendal,42,Agder
,NO25054140,M,EUROPRIS NITTEDAL 625,929791460,Bjertnestangen 9,1482,NITTEDAL,,,3232,Nittedal,32,Akershus
,NO25054139,M,EUROPRIS NORDFJORDEID 484,887424772,Uldegrova 4,6770,NORDFJORDEID,,,4649,Stad,46,Vestland
,NO25054137,M,EUROPRIS NORHEIMSUND 315,988794309,Steinsdalsvegen 39,5600,NORHEIMSUND,56563060,,4622,Kvam,46,Vestland
,NO25054136,M,EUROPRIS NÆRBØ,889597232,Torggata 16,4365,NÆRBØ,51 43 13 35,51 43 13 36,1119,Hå,11,Rogaland
,NO25054135,M,EUROPRIS NØTTERØY 334,985418993,Ramdalveien 2,3128,NØTTERØY,34 40 72 20,34 40 72 21,3911,Færder,39,Vestfold
,NO25054134,M,EUROPRIS OPPDAL 397,985325782,O. Skasliens veg 46,7340,OPPDAL,72 42 35 02,72 42 35 03,5021,Oppdal,50,Trøndelag
,NO25054133,M,EUROPRIS ORKANGER 489,888086692,OTI-senteret,7300,ORKANGER,,,5059,Orkland,50,Trøndelag
,NO25054132,M,EUROPRIS OTTA 636,987891807,Storgata 2,2670,OTTA,,,3437,Sel,34,Innlandet
,NO25054131,M,EUROPRIS OTTESTAD 461,915202888,Holmlundvegen 1,2312,OTTESTAD,,,3413,Stange,34,Innlandet
,NO25054130,M,EUROPRIS PINDSLE 410,915357717,Pindsleveien 21,3221,SANDEFJORD,,,3907,Sandefjord,39,Vestfold
,NO25054150,M,EUROPRIS PLUSS ÅSSIDEN 225,981166248,Ingeniør Rybergs gate 101,3027,DRAMMEN,32890860,,3301,Drammen,33,Buskerud
,NO25054129,M,EUROPRIS PORSGRUNN 442,882251802,Porselensvegen 14,3920,PORSGRUNN,,,4001,Porsgrunn,40,Telemark
,NO25054128,M,EUROPRIS PRINSDAL 237,982727790,Skiveien 2,1410,KOLBOTN,,,3207,Nordre Follo,32,Akershus
,NO25054127,M,EUROPRIS RAGLAMYR 233,981708016,Longhammarvegen 36,5536,HAUGESUND,52 86 67 61,,1106,Haugesund,11,Rogaland
,NO25054126,M,EUROPRIS RAKKESTAD 245,985768498,Storgata 18,1890,RAKKESTAD,,,3120,Rakkestad,31,Østfold
,NO25054125,M,EUROPRIS RAUFOSS 587,891381522,Storgata 49,2830,RAUFOSS,,,3443,Vestre Toten,34,Innlandet
,NO25054124,M,EUROPRIS REKNES 578,919549521,Gideonvegen 4,6412,MOLDE,,,1506,Molde,15,Møre og Romsdal
,NO25054123,M,EUROPRIS RENA 280,991666109,Lille Torvgate 4,2450,RENA,,,3422,Åmot,34,Innlandet
,NO25054122,M,EUROPRIS REVETAL 300,994667076,Regata 5,3174,REVETAL,,,3905,Tønsberg,39,Vestfold
,NO25054121,M,EUROPRIS RINGEBU 414,991954929,Brugata 7,2630,RINGEBU,,,3439,Ringebu,34,Innlandet
