"record_id","source_product_record_id","hs_code","product_scope","species_group","product_form","export_tonnes_2024","kcal_per_100g","edible_part_pct","energy_tcal_candidate","energy_source","edible_source","mapping_status","ki_usage_rule","notes"
"G3-NO-HS-ENERGY-03025901-2024","G3-NO-HS-PRODUCT-085-2024","03025901","whole_or_gutted_fish_shellfish","pollack","whole_or_gutted","1201.931","66","50","0.397","Matvaretabellen 04.021 Lyr rå","Matvaretabellen 04.021 Lyr rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03022191-2024","G3-NO-HS-PRODUCT-086-2024","03022191","whole_or_gutted_fish_shellfish","greenland_halibut","whole_or_gutted","1177.838","155","100","1.826","Matvaretabellen 04.001 Blåkveite rå/kaldrøkt","Matvaretabellen 04.001 Blåkveite rå/kaldrøkt","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03035300-2024","G3-NO-HS-PRODUCT-087-2024","03035300","whole_or_gutted_fish_shellfish","sprat_sardine","whole_or_gutted","1162.350","208","60","1.451","Matvaretabellen 04.003 Brisling rå; sardine/brisling proxy","Matvaretabellen 04.003 Brisling rå; sardine/brisling proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03044420-2024","G3-NO-HS-PRODUCT-088-2024","03044420","fillet_or_fish_meat","haddock","fillet_or_fish_meat","1076.949","78","100","0.840","Matvaretabellen 04.110 Hyse kolje rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03055129-2024","G3-NO-HS-PRODUCT-089-2024","03055129","processed_preserved_fish","clipfish","clipfish","1061.001","268","75","2.133","Matvaretabellen 04.253 Klippfisk saltet og tørket","Matvaretabellen 04.253 Klippfisk saltet og tørket","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03044430-2024","G3-NO-HS-PRODUCT-090-2024","03044430","fillet_or_fish_meat","saithe","fillet_or_fish_meat","1056.061","85","100","0.898","Matvaretabellen 04.029 Sei rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03039903-2024","G3-NO-HS-PRODUCT-091-2024","03039903","edible_byproduct_or_roe","greenland_halibut","edible_byproduct_or_roe","1055.060","","","","","","needs_byproduct_mapping","exclude","Mixed edible byproduct row needs specific organ/roe mapping"
"G3-NO-HS-ENERGY-03061408-2024","G3-NO-HS-PRODUCT-092-2024","03061408","whole_or_gutted_fish_shellfish","crab","whole_or_gutted","1050.016","85","40","0.357","Matvaretabellen 04.398 Krabbeskjell; edible share proxy","Matvaretabellen 04.398 Krabbeskjell; edible share proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-MAPPED-CANDIDATE-TOTAL-2024","mapped_rows","selected_hs","mapped_candidate_total","mapped_rows","mixed","2309198.600","NA","NA","3203.326","Matvaretabellen plus proxy factors","mixed","derived_candidate_total","exclude","Candidate sum across mapped rows only; excludes fish oil fishmeal and manual-review rows"
"G3-NO-HS-ENERGY-EXCLUDED-SCOPE-TONNES-2024","excluded_scope_rows","selected_hs","excluded_scope_total","fish_oil_and_fishmeal","mixed","203769.019","NA","NA","NA","SSB 08801 HS labels","scope decision","scope_excluded_total","exclude","Fish oil and non-food fishmeal/pellets excluded from direct food-energy candidate"
"G3-NO-HS-ENERGY-MANUAL-REVIEW-TONNES-2024","manual_review_rows","selected_hs","manual_review_total","manual_review","mixed","52560.981","NA","NA","NA","SSB 08801 HS labels","needs mapping","manual_review_total","exclude","Rows needing prepared-product byproduct or species mapping before energy calculation"
